# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2016-01-01 to 2016-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2016-12-06 22:30:00,Binghamton,NY,Flash
2016-12-06 20:45:00,High Point,NC,Other
2016-12-06 19:15:00,Austin,NV,Fireball
2016-12-06 19:00:00,Austin,NV,Other
2016-12-06 18:00:00,Nairn,LA,Formation
2016-12-06 17:30:00,Holland,PA,Sphere
2016-12-06 17:00:00,New York City (Manhattan),NY,Unknown
2016-12-06 13:15:00,Lake Jackson (Brazoria Co.),TX,Unknown
2016-12-06 07:15:00,Union,IL,Chevron
2016-12-06 05:00:00,Osterville,MA,Light
2016-12-06 01:40:00,Sunrise,FL,Circle
2016-12-05 22:40:00,Regina (Canada),SK,Light
2016-12-05 20:05:00,Niantic,CT,Triangle
2016-12-05 18:39:00,Ivins,UT,Circle
2016-12-05 18:15:00,Haskell,NJ,Triangle
2016-12-05 18:00:00,Westmoreland,NH,Disk
2016-12-05 17:40:00,Keswick (Canada),ON,
2016-12-05 16:00:00,Elizabethtown (near),PA,Changing
2016-12-05 04:00:00,Webster,NY,Unknown
2016-12-05 03:30:00,Stratford,CT,Light
2016-12-05 01:40:00,La Pine,OR,Fireball
2016-12-04 23:10:00,Sauk Rapids,MN,Triangle
2016-12-04 22:40:00,Huntington Beach,CA,Chevron
2016-12-04 20:00:00,Freeport,ME,Diamond
2016-12-04 19:32:00,Sioux Falls,SD,Light
2016-12-04 19:10:00,Arcade,GA,Circle
2016-12-04 19:00:00,Redwood Falls,MN,Circle
2016-12-04 18:15:00,Brinklow,MD,Circle
2016-12-04 18:00:00,Winter Harbor,ME,Disk
2016-12-04 17:30:00,Severn,MD,Light
2016-12-04 15:03:00,Mission Viejo,CA,Light
2016-12-04 14:16:00,Marana,AZ,
2016-12-04 12:10:00,London (Canada),ON,Other
2016-12-03 23:37:00,Matawan,NJ,Flash
2016-12-03 21:00:00,Morgantown,WV,Light
2016-12-03 20:45:00,Macomb,MI,Circle
2016-12-03 19:30:00,Corte Madera,CA,Disk
2016-12-03 18:15:00,Boone Grove,IN,Disk
2016-12-03 18:00:00,Rockville,MD,Oval
2016-12-03 17:15:00,North Snohomish,WA,Formation
2016-12-03 16:00:00,Whittier,CA,Formation
2016-12-03 16:00:00,Santa Cruz,CA,Light
2016-12-03 14:00:00,Gorham,ME,
2016-12-02 22:00:00,Philadelphia,PA,Light
2016-12-02 20:00:00,Reidsville,NC,Light
2016-12-02 18:00:00,Raphine,VA,Circle
2016-12-02 17:13:00,Chester,VA,Other
2016-12-02 17:00:00,Ashland,VA,
2016-12-02 15:00:00,Roswell,NM,
2016-12-02 09:26:00,Snellville,GA,Triangle
2016-12-01 20:35:00,Plainville,CT,Circle
2016-12-01 19:45:00,Portland,TN,Light
2016-12-01 18:52:00,Glendale,AZ,Light
2016-12-01 18:45:00,Conway,SC,Formation
2016-12-01 18:17:00,San Bernardino,CA,Light
2016-12-01 18:00:00,Amherst,NY,Oval
2016-12-01 17:30:00,Montgomery,AL,Circle
2016-12-01 16:30:00,Asbury Park,NJ,Oval
2016-12-01 12:46:00,Escondido,CA,Other
2016-12-01 07:00:00,Raton,NM,Cylinder
2016-11-30 23:45:00,Edmonds,WA,Changing
2016-11-30 23:30:00,Camp Shelby,MS,Unknown
2016-11-30 21:00:00,Riverton (outside of),WY,Circle
2016-11-30 20:40:00,Radcliff,KY,Triangle
2016-11-30 20:00:00,Kingsland,GA,Unknown
2016-11-30 19:30:00,Fayetteville,TX,Triangle
2016-11-29 23:30:00,Belmont,MI,Circle
2016-11-29 22:47:00,Bridgeport,WV,Oval
2016-11-29 22:27:00,American Canyon,CA,Triangle
2016-11-29 22:15:00,Colorado Springs,CO,Triangle
2016-11-29 21:00:00,Niagara Falls (Canada),ON,Circle
2016-11-29 20:15:00,Carlinville,IL,Rectangle
2016-11-29 19:45:00,Fairfield,CA,Changing
2016-11-29 19:45:00,Englewood,CO,Unknown
2016-11-29 19:00:00,Corona,CA,Circle
2016-11-29 18:50:00,Midland,MI,Triangle
2016-11-29 18:20:00,Janesville,WI,Other
2016-11-29 12:10:00,Plainfield,IL,Changing
2016-11-29 06:45:00,Happy Valley,OR,Circle
2016-11-29 06:00:00,Anchor Point,AK,Fireball
2016-11-29 02:15:00,Hayes (UK/England),,Triangle
2016-11-29 00:17:00,Fishers,IN,Triangle
2016-11-28 23:00:00,Sutherlin,OR,Other
2016-11-28 23:00:00,Tazewell,VA,Circle
2016-11-28 22:00:00,Athol,MA,Light
2016-11-28 20:09:00,Birmingham (UK/England),,Diamond
2016-11-28 19:00:00,American Canyon,CA,Chevron
2016-11-28 18:48:00,Ste. Genevieve,MO,Light
2016-11-28 18:35:00,St. Petersburg,FL,Circle
2016-11-28 18:30:00,Waynesville,MO,Light
2016-11-28 18:00:00,Seekonk (general area),RI,Circle
2016-11-28 17:15:00,Vineland,NJ,Changing
2016-11-28 16:45:00,Fairfield,ME,Cross
2016-11-28 07:55:00,The Hague (near; on main highway)(Netherlands),,Light
2016-11-28 06:51:00,Athens,GA,Cigar
2016-11-28 06:00:00,Centerville,IL,Fireball
2016-11-28 01:29:00,Mooresville,NC,Light
2016-11-28 00:00:00,Grand Junction,CO,Unknown
2016-11-27 22:15:00,Carrying Place (Canada),ON,Light
2016-11-27 19:30:00,St. Petersburg,FL,Circle
2016-11-27 16:58:00,Bay Shore,NY,Light
2016-11-27 12:45:00,Longmont,CO,Rectangle
2016-11-27 12:35:00,Kenmore,WA,Circle
2016-11-27 11:30:00,Maui (in-flight; off coast of),HI,
2016-11-27 10:00:00,Allentown,PA,Fireball
2016-11-27 03:20:00,Lake Charles,LA,Light
2016-11-27 00:07:00,Raymond,NE,Circle
2016-11-26 23:42:00,Bailey,CO,Disk
2016-11-26 23:33:00,Bergen,NY,Triangle
2016-11-26 23:30:00,Middletown,NY,Light
2016-11-26 22:30:00,Charlotte,NC,Light
2016-11-26 22:00:00,Davenport,FL,Circle
2016-11-26 21:45:00,Allen Park,MI,Light
2016-11-26 19:35:00,Naugatuck,CT,Light
2016-11-26 19:27:00,Venice,FL,Light
2016-11-26 19:00:00,Fairview,OR,Triangle
2016-11-26 18:30:00,McDonough,GA,Light
2016-11-26 18:00:00,Shallotte,NC,Changing
2016-11-26 18:00:00,Spearfish,SD,Disk
2016-11-26 17:30:00,New York City (Brooklyn),NY,Triangle
2016-11-26 16:56:00,McChord AFB/Ft. Lewis,WA,Fireball
2016-11-26 15:00:00,Vacaville,CA,Sphere
2016-11-26 04:00:00,West New York,NJ,Light
2016-11-25 22:00:00,Olathe,KS,Chevron
2016-11-25 20:47:00,Tyrone,GA,Light
2016-11-25 20:00:00,Vero Beach,FL,Sphere
2016-11-25 19:00:00,Bedford,IN,Sphere
2016-11-25 19:00:00,Nevada (eastern),NV,Light
2016-11-25 18:30:00,Port Orange,FL,Unknown
2016-11-25 18:30:00,Brandon,FL,Fireball
2016-11-25 17:30:00,Torrance,CA,Light
2016-11-25 11:00:00,Longmont,CO,Circle
2016-11-25 07:48:00,Corpus Christi,TX,
2016-11-25 01:30:00,Warner Robins,GA,Light
2016-11-25 01:11:00,Newcastle,WA,Flash
2016-11-24 23:00:00,Graham,NC,Circle
2016-11-24 21:45:00,Annapolis,MD,Light
2016-11-24 20:30:00,Balko,OK,Light
2016-11-24 19:30:00,Largo,FL,Unknown
2016-11-24 19:12:00,Woodbridge,NJ,Light
2016-11-24 19:12:00,Woodbridge,NJ,Oval
2016-11-24 19:00:00,,FL,Unknown
2016-11-24 18:30:00,Oldsmar,FL,Sphere
2016-11-24 18:00:00,Zebulon,NC,Disk
2016-11-24 17:45:00,Monrovia,MD,Light
2016-11-24 03:00:00,Grand Junction,CO,Disk
2016-11-24 02:00:00,Colorado Springs,CO,Light
2016-11-24 00:05:00,D'iberville,MS,Light
2016-11-24 00:00:00,Johor (Malaysia),,Circle
2016-11-23 23:00:00,Tinton Falls,NJ,Light
2016-11-23 22:30:00,Beaverton,OR,Disk
2016-11-23 21:15:00,Central Square,NY,Light
2016-11-23 19:20:00,Carlsbad,CA,Unknown
2016-11-23 01:43:00,Poteau,OK,Sphere
2016-11-22 22:31:00,Seguin,TX,Triangle
2016-11-22 21:30:00,Mesa,AZ,Light
2016-11-22 21:30:00,Oshawa (Canada),ON,Sphere
2016-11-22 21:10:00,Largo,FL,Chevron
2016-11-22 21:00:00,Beecher,IL,Chevron
2016-11-22 21:00:00,Santa Clara,UT,Other
2016-11-22 21:00:00,Santa Clara,UT,Other
2016-11-22 20:30:00,Derby,KS,Flash
2016-11-22 19:30:00,Cecil,PA,Formation
2016-11-22 16:17:00,Atkinson/Kingston,NH,Other
2016-11-22 11:29:00,New York City (Brooklyn),NY,Circle
2016-11-22 11:00:00,Floral City,FL,Chevron
2016-11-22 07:50:00,Jarrettsville,MD,Diamond
2016-11-22 07:00:00,Gainesville,GA,Other
2016-11-22 05:20:00,San Diego,CA,Sphere
2016-11-22 04:45:00,Scarborough,ME,Flash
2016-11-22 02:30:00,Bismarck,ND,Circle
2016-11-21 23:35:00,Key Colony Beach,FL,Light
2016-11-21 23:15:00,Victoria (Canada),BC,Other
2016-11-21 18:25:00,Riverdale,GA,Oval
2016-11-21 18:00:00,Ventura,CA,Circle
2016-11-21 18:00:00,Fountain Hill,AR,Light
2016-11-21 17:00:00,Alexandria,VA,Fireball
2016-11-21 07:30:00,Pearisburg,VA,Triangle
2016-11-21 06:00:00,Miramar Beach,FL,Sphere
2016-11-21 03:30:00,Honolulu,HI,Other
2016-11-21 02:00:00,Sherman Oaks,CA,Unknown
2016-11-21 00:05:00,Burbank,CA,Oval
2016-11-20 00:00:00,McKinney,TX,Light
2016-11-20 23:30:00,Boise,ID,Unknown
2016-11-20 22:23:00,Springfield,IL,Light
2016-11-20 22:00:00,San Jose,CA,Fireball
2016-11-20 21:20:00,Charleston,TN,Formation
2016-11-20 11:10:00,Lincoln,NE,Oval
2016-11-20 09:30:00,Franklin,WI,Light
