# The data on UFO sightings was scraped from the monthly 
# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2017-01-01 to 2017-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2017-05-06 21:00:00,Southington,CT,Other
2017-05-06 21:00:00,Bonnerdale/Crossroads,AR,Unknown
2017-05-06 20:58:00,Old Bridge,NJ,Changing
2017-05-06 20:45:00,Phoenix,AZ,Triangle
2017-05-06 05:00:00,Camp McGregor,NM,Light
2017-05-06 05:00:00,San Francisco,CA,Fireball
2017-05-06 04:50:00,Mojave (Canada),BC,Light
2017-05-05 20:00:00,Corona,CA,Other
2017-05-05 11:30:00,Austin,TX,Disk
2017-05-05 04:30:00,Surprise,AZ,Circle
2017-05-05 03:00:00,El Mirage,AZ,Circle
2017-05-04 23:34:00,York,NE,Fireball
2017-05-04 23:25:00,Onchiota,NY,Unknown
2017-05-04 23:07:00,Elkhart Lake,WI,Unknown
2017-05-04 23:00:00,Lawrence,KS,Light
2017-05-04 22:00:00,Edgewood,NM,Unknown
2017-05-04 21:27:00,Phoenix,AZ,Circle
2017-05-04 20:25:00,Houston,TX,Other
2017-05-04 18:30:00,Phoenix,AZ,Teardrop
2017-05-04 15:00:00,Beaverton,OR,Disk
2017-05-04 04:50:00,Taft,CA,Changing
2017-05-04 00:00:00,Goose Creek,SC,Circle
2017-05-04 00:00:00,Savannah,GA,Sphere
2017-05-03 00:00:00,Lake Los Angeles,CA,Oval
2017-05-03 23:15:00,West Union,OH,Circle
2017-05-03 21:00:00,Portland,OR,Circle
2017-05-03 15:00:00,Loveland,CO,Triangle
2017-05-03 11:15:00,Barneveld,WI,Triangle
2017-05-03 08:50:00,Phoenix,AZ,Other
2017-05-03 08:00:00,New York City (Brooklyn),NY,Rectangle
2017-05-03 02:04:00,Arvada,CO,Triangle
2017-05-03 01:00:00,Norman,OK,Light
2017-05-02 22:15:00,Albuquerque,NM,Sphere
2017-05-02 21:50:00,Albuquerque,NM,Sphere
2017-05-02 21:00:00,Kennesaw,GA,Light
2017-05-02 17:10:00,Albuquerque,NM,Oval
2017-05-02 13:15:00,Canoga Park,CA,Sphere
2017-05-02 13:00:00,Edmonton (Canada),AB,Light
2017-05-02 05:00:00,Las Vegas,NV,Unknown
2017-05-02 00:13:00,Houma,LA,Disk
2017-05-01 23:30:00,Taylorsville,UT,Circle
2017-05-01 21:15:00,Marana,AZ,Circle
2017-05-01 21:13:00,Scottsdale,AZ,Unknown
2017-05-01 19:00:00,Lawrenceville,NJ,Light
2017-05-01 15:30:00,Fullerton,CA,Diamond
2017-05-01 05:00:00,Tewksbury,MA,
2017-05-01 03:23:00,Fullerton,CA,Diamond
2017-05-01 01:50:00,Chugiak,AK,Rectangle
2017-05-01 00:15:00,Seminary,LA,Oval
2017-05-01 00:00:00,Taylor,PA,Other
2017-04-30 22:00:00,Peyton,CO,Formation
2017-04-30 22:00:00,Spring,TX,Circle
2017-04-30 21:00:00,Ventura,CA,Other
2017-04-30 21:00:00,Eatonton,GA,Light
2017-04-30 20:30:00,Belleville,IL,Triangle
2017-04-30 18:00:00,Pebble Beach,CA,Sphere
2017-04-30 14:00:00,Everett,WA,
2017-04-30 05:00:00,Del Valle,TX,Circle
2017-04-30 03:33:00,Nashville,TN,
2017-04-30 02:00:00,Oxford (UK/England),,Circle
2017-04-30 01:45:00,Mansfield,MA,Light
2017-04-30 01:23:00,Wentzville,MO,Flash
2017-04-29 23:40:00,Eden Prairie,MN,Circle
2017-04-29 23:20:00,Minneapolis,MN,Circle
2017-04-29 23:00:00,Newport,MI,Light
2017-04-29 23:00:00,Athabasca (Canada),AB,Disk
2017-04-29 22:35:00,Edina,MN,Circle
2017-04-29 22:00:00,Medford,OR,Changing
2017-04-29 22:00:00,Eden Prairie,MN,Formation
2017-04-29 21:30:00,Sacramento,CA,Circle
2017-04-29 21:00:00,Chambersburg,PA,Disk
