# S&P 500 companies
"ticker","callsign","company","sector"
"PHM","NYSE:PHM","Pulte Homes Inc.","Consumer Discretionary"
"PVH","NYSE:PVH","PVH Corp.","Consumer Discretionary"
"QRVO","NASDAQ:QRVO","Qorvo","Information Technology"
"PWR","NYSE:PWR","Quanta Services Inc.","Industrials"
"QCOM","NASDAQ:QCOM","QUALCOMM Inc.","Information Technology"
"DGX","NYSE:DGX","Quest Diagnostics","Health Care"
"RRC","NYSE:RRC","Range Resources Corp.","Energy"
"RJF","NYSE:RJF","Raymond James Financial Inc.","Financials"
"RTN","NYSE:RTN","Raytheon Co.","Industrials"
"O","NYSE:O","Realty Income Corporation","Real Estate"
"RHT","NYSE:RHT","Red Hat Inc.","Information Technology"
"REG","NYSE:REG","Regency Centers Corporation","Real Estate"
"REGN","NASDAQ:REGN","Regeneron","Health Care"
"RF","NYSE:RF","Regions Financial Corp.","Financials"
"RSG","NYSE:RSG","Republic Services Inc","Industrials"
"RAI","NYSE:RAI","Reynolds American Inc.","Consumer Staples"
"RHI","NYSE:RHI","Robert Half International","Industrials"
"ROK","NYSE:ROK","Rockwell Automation Inc.","Industrials"
"COL","NYSE:COL","Rockwell Collins","Industrials"
"ROP","NYSE:ROP","Roper Technologies","Industrials"
"ROST","NASDAQ:ROST","Ross Stores","Consumer Discretionary"
"RCL","NYSE:RCL","Royal Caribbean Cruises Ltd","Consumer Discretionary"
"CRM","NYSE:CRM","Salesforce.com","Information Technology"
"SCG","NYSE:SCG","SCANA Corp","Utilities"
"SLB","NYSE:SLB","Schlumberger Ltd.","Energy"
"SNI","NASDAQ:SNI","Scripps Networks Interactive Inc.","Consumer Discretionary"
"STX","NASDAQ:STX","Seagate Technology","Information Technology"
"SEE","NYSE:SEE","Sealed Air","Materials"
"SRE","NYSE:SRE","Sempra Energy","Utilities"
"SHW","NYSE:SHW","Sherwin-Williams","Materials"
"SIG","NYSE:SIG","Signet Jewelers","Consumer Discretionary"
"SPG","NYSE:SPG","Simon Property Group Inc","Real Estate"
"SWKS","NASDAQ:SWKS","Skyworks Solutions","Information Technology"
"SLG","NYSE:SLG","SL Green Realty","Real Estate"
"SNA","NYSE:SNA","Snap-On Inc.","Consumer Discretionary"
"SO","NYSE:SO","Southern Co.","Utilities"
"LUV","NYSE:LUV","Southwest Airlines","Industrials"
"SPGI","NYSE:SPGI","S&P Global, Inc.","Financials"
